pano,onscode,panamelong,region,con15,lab15,ld15,ukip15,grn15,pc15,snp15,total15,elec15,leave16sh,con17,lab17,ld17,ukip17,grn17,pc17,snp17,total17,elec17,c11degree,c11noqual,c11age1824,c11age65p,c11pubsect,c11beu,unemp15,unemp17
156,"S14000011","Coatbridge, Chryston & Bellshill","Scotland",3209,17195,549,1049,,,28696,50698,73894,38.7,7318,19193,922,0,0,0,17607,45040,71198,17.043262,33.904091,8.744812,14.883623,27.662581,1.0760258,1888,1645
157,"E14000644","Colchester","Eastern",18919,7852,13344,5870,2499,,,48593,74204,51.1,24565,18888,9087,0,828,0,0,53545,79996,26.9,19.200001,11.9,13.3,35.1,4.6999998,1138,1110
158,"E14000645","Colne Valley","Yorkshire and the Humber",25246,19868,3407,5734,1919,,,56800,82516,49.8,27903,28818,2494,0,892,0,0,60420,84387,29.799999,21,7.5999999,16,30.9,1.3,1409,1115
159,"E14000646","Congleton","North West",27164,10391,4623,6922,1876,,,50976,72503,52.7,31830,19211,2902,1289,999,0,0,56231,76694,31,20.1,6.5,20.4,25.8,1.1,551,530
160,"E14000647","Copeland","North West",14186,16750,1368,6148,1179,,,39631,62087,59.8,21062,19367,1404,1094,0,0,0,42927,61751,23.1,25.6,7.4000001,19.700001,24.9,1.1,1000,1160
161,"E14000648","Corby","East Midlands",24023,21611,1458,7708,1374,,,56174,79775,60.1,29534,26844,1545,1495,579,0,0,59997,83020,20.700001,24.700001,7.6999998,15.2,22.5,5.4000001,1306,1075
162,"E14000837","Cornwall North","South West",21689,2621,15068,6121,2063,,,48245,67192,60.3,25835,6151,18635,0,0,0,0,50944,68844,23,24.200001,6.9000001,23,24.2,2,713,735
163,"E14000938","Cornwall South East","South West",25516,4692,8521,7698,2718,,,50498,71071,54.9,29493,12050,10346,0,1335,0,0,53224,71880,26.299999,21.200001,6.5,21.700001,31.7,1.6,674,685
164,"E14000991","Cotswolds, The","South West",32045,5240,10568,6188,2626,,,56667,78290,47.8,36201,10702,9748,1197,1747,0,0,59702,80449,34.400002,18.4,6.6999998,22.4,24.1,2.3,436,400
165,"E14000649","Coventry North East","West Midlands",9751,22025,2007,6278,1245,,,42231,75462,59.2,13919,29499,1157,1350,502,0,0,46508,75759,19.299999,28.299999,10.4,13.1,28,5.0999999,2105,1910
166,"E14000650","Coventry North West","West Midlands",14048,18557,1810,7101,1961,,,45246,73626,58.7,18314,26894,1286,1525,666,0,0,49849,75196,22.9,23.5,11.2,16.1,29.3,4,1355,1235
167,"E14000651","Coventry South","West Midlands",15284,18472,1779,5709,1719,,,43699,70397,48.9,17927,25874,1343,1037,604,0,0,47009,70736,26.799999,20,19.299999,14.7,29.7,4.8000002,1562,1435
168,"E14000652","Crawley","South East",22829,16303,1339,6979,1100,,,48550,73936,58.4,25426,22969,1878,0,0,0,0,50273,73425,21.5,20.1,8.6000004,12.6,19.4,5.8000002,1038,990
169,"E14000653","Crewe & Nantwich","North West",22445,18825,1374,7252,,,,49896,74169,59.0,25880,25928,1334,1885,0,0,0,55027,78895,24.200001,22.700001,9.5,16.700001,25.8,4.0999999,1177,1035
170,"E14000654","Croydon Central","London",22753,22588,1152,4810,1454,,,52941,78171,50.3,24221,29873,1083,1040,626,0,0,57091,80045,29.6,19.799999,9.1999998,12.1,30.2,4.5,1521,2815
171,"E14000655","Croydon North","London",12149,33513,1919,2899,2515,,,53522,85941,41.2,11848,44213,1656,753,983,0,0,59623,87461,30.5,17.799999,9.5,9.6999998,32.2,6.5999999,2446,3840
172,"E14000656","Croydon South","London",31448,14308,3448,6068,2154,,,57712,82010,45.8,33334,21928,3541,1116,1125,0,0,61257,83518,35.299999,15.2,7.8000002,15.3,29,3.8,899,1485
173,"S14000012","Cumbernauld, Kilsyth & Kirkintilloch East","Scotland",3891,14820,1099,,,,29572,49382,67088,37.9,8010,14858,1238,605,0,0,19122,43833,66554,19.831398,27.233698,8.8194733,15.643819,30.731334,.96423483,1374,1245
174,"W07000070","Cynon Valley","Wales",3676,14532,830,4976,799,5126,,30472,51422,57.0,6166,19404,585,1271,0,4376,0,31802,51334,17.4,33.799999,9.1000004,17.4,31.9,.89999998,1436,1185
175,"E14000657","Dagenham & Rainham","London",10492,17830,717,12850,806,,,43050,69128,69.9,18306,22958,465,3246,544,0,0,45843,70616,17.6,29.6,9.3999996,14.7,27.1,4.4000001,1744,1735
176,"E14000658","Darlington","North East",14479,17637,1966,5392,1444,,,41141,65851,58.1,19401,22681,1031,1180,524,0,0,44817,66341,22,26,8.3000002,17.1,30.6,2.5,1913,2165
177,"E14000659","Dartford","South East",25670,13325,1454,10434,1324,,,52418,75209,64.0,31210,18024,1428,2544,807,0,0,54224,78506,22.299999,21.1,8.5,15,26.1,3.0999999,931,840
178,"E14000660","Daventry","East Midlands",30550,9491,2352,8296,1829,,,52518,72873,58.8,35464,13730,4015,1497,957,0,0,55663,75268,28.6,19.200001,7,17.5,24.3,2.2,605,775
179,"W07000042","Delyn","Wales",12257,15187,1380,6150,680,1803,,37457,53639,54.8,16333,20573,1031,0,0,1481,0,39418,54090,23.799999,24.5,7.6999998,18.9,27.5,1.8,905,745
180,"E14000661","Denton & Reddish","North West",9150,19661,957,7225,1466,,,38681,66141,61.0,11084,25161,853,1798,486,0,0,39599,67674,17.299999,27.700001,8.6999998,16.299999,26.2,1.3,1329,1215
181,"E14000662","Derby North","East Midlands",16402,16361,3832,6532,1618,,,44745,69794,53.7,21607,23622,2262,1181,0,0,0,48672,69919,26.9,21.5,13.4,15.1,30,3.4000001,1055,975
182,"E14000663","Derby South","East Midlands",11179,20007,1717,6341,1208,,,40820,70240,61.6,15182,26430,1229,2011,454,0,0,45306,69918,19.299999,28.700001,10.2,13.2,26.7,5,2232,1680
183,"E14000664","Derbyshire Dales","East Midlands",24805,10761,3965,5508,2173,,,47361,63476,51.3,29744,15417,3126,0,1002,0,0,49571,64430,33.799999,21.4,6.0999999,22.4,27.7,1.2,289,275
184,"E14000814","Derbyshire Mid","East Midlands",24908,12134,2292,6497,1898,,,47729,67477,52.5,29513,17897,1793,0,1168,0,0,50371,67466,31.299999,19.700001,6.8000002,20.200001,29.9,1.3,422,365
185,"E14000843","Derbyshire North East","East Midlands",17605,19488,2004,7631,1059,,,47948,71445,62.2,24783,21923,1390,1565,719,0,0,50380,72097,22.200001,26.4,7.3000002,21,28.3,.80000001,958,775
